ID,Title,2_Tool,aflickering,AinsleyIscariot,astadaradim,Blazko,blue_skies,Costanzo,crushedtoapulp,darsu,Decibelle,deleted,diction,dukkha,Ghost_Train,Gonph,goodsinginggum,hb_music,Ice_spiral,Inovox,Jewelz,Josh318,Lady_Penelope,Lambuzz,LIfeDuringWartime,Magenta_Bob,Meister333,mistercb,momotaroyouth,moorezey,mrblond,oscarmurraey,ocillating_fan,Ovals,peelsa,Psy_b,Rengar18,russalex86 ,RustyJames,RuthJanelle,selwyn42,Silverblack,Sluggo714,Sosen,stuie299,thefeverayeaye,ThePsuedo,tuukkis,TWiseau,YasashiiDia
[Film111311],風立ちぬ [The Wind Rises],0,0,50,0,0,0,0,0,0,0,0,41,0,0,0,0,0,45,0,0,20,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
[Film111368],A Field in England,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,38,0,0
[Film111381],They Came Together,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Film111874],August and After,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Film112154],누구의 딸도 아닌 해원 [Nobody's Daughter Haewon],0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,43,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Film112299],3 Days to Kill,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Film112405],Creep,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Film113080],Le passé [The Past],0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
[Film113088],L' inconnu du lac [Stranger by the Lake],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0
[Film113268],Frank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Film113364],Les salauds [Bastards],0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Film113489],La migliore offerta [The Best Offer],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Film114006],Blue Jasmine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Film114364],"そして父になる [Like Father, Like Son]",0,0,48,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,16,0,0,0,0,0,0,0,0,0,39
[Film114447],Vic + Flo ont vu un ours [Vic+Flo Saw a Bear],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0
[Film115052],Kış uykusu [Winter Sleep],22,0,0,21,41,-1,0,4,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,14,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,3,0
[Film115572],The Book Thief,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Film115727],Locke,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Film115814],ペタル ダンス [Petal Dance],0,0,0,0,0,0,0,0,47,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Film116105],Stemple Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Film116127],Interstellar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0,0,0,3,28,0,0,4,0
[Film116359],The Unspeakable Act,0,15,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Film116470],Toy Story 4,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Film116790],Fruitvale Station,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Film116948],Mother of George,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
[Film116959],"Deux jours, une nuit [Two Days, One Night]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,33
[Film116969],Трудно быть Богом [Hard to Be a God],0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,30,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Film117188],玉门 [Yumen],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Film117440],刺客聶隱娘 [The Assassin],0,0,0,0,0,0,16,28,0,0,0,0,2,0,0,0,36,0,0,0,0,0,0,0,0,0,0,25,0,0,0,10,0,38,0,8,22,0,6,41,0,0,0,0,0,10,0,15,0
